N 10TH ST  &  RACE ST	8/14/2007 9:14:00 AM	19107
2500 BLOCK RIDGE DR	8/12/2007 3:16:00 AM	19121
S 61ST ST  &  W PASSYUNK AV	8/12/2007 12:34:00 AM	19153
5700 BLOCK COLGATE ST	8/9/2007 10:14:00 AM	19120
1500 BLOCK W BUTLER ST	8/9/2007 1:33:00 AM	19140
N 9TH ST  &  W ROOSEVELT BLVD	8/8/2007 7:22:00 AM	19140
900 BLOCK S 59TH ST	8/7/2007 2:12:00 AM	19143
6800 BLOCK N 19TH ST	8/5/2007 11:39:00 AM	19126
700 BLOCK S BROAD ST	8/5/2007 6:09:00 AM	19146
ROSALIE ST  &  COLGATE ST	8/3/2007 11:52:00 PM	19120
3900 BLOCK HENRY AV	8/3/2007 7:10:00 PM	19129
N BROAD ST  &  W ROCKLAND ST	8/3/2007 2:17:00 AM	19141
1100 BLOCK DIVINITY ST	8/1/2007 9:48:00 PM	19143
2300 BLOCK N GRATZ ST	8/1/2007 6:32:00 PM	19132
2900 BLOCK DIAMOND ST	8/1/2007 4:47:00 AM	19121
5400 BLOCK B ST	8/31/2008 7:56:00 PM	19120
5200 BLOCK GLENLOCH ST	8/31/2008 4:07:00 AM	19124
2100 BLOCK S SIMPSON ST	8/30/2008 9:13:00 PM	19142
4800 BLOCK WHITAKER AVE	8/30/2008 4:12:00 PM	19120
600 BLOCK S 62ND ST	8/30/2008 5:09:00 AM	19143
500 BLOCK W LYCOMING ST	8/29/2008 11:53:00 PM	19140
2000 BLOCK N 33RD ST	8/29/2008 6:11:00 PM	19121
2300 BLOCK N COLLEGE AV 	8/28/2008 10:26:00 PM	19121
2900 BLOCK GERRITT ST	8/28/2008 10:00:00 PM	19146
2000 BLOCK DIAMOND ST	8/28/2008 2:21:00 PM	19121
4000 BLOCK N FAIRHILL ST	8/27/2008 7:50:00 PM	19140
LINDLEY AV &  WINDRIM AV	8/24/2008 2:20:00 AM	19141
5300 BLOCK LESHER ST	8/24/2008 1:16:00 AM	19124
6400 BLOCK KEYSTONE ST	8/23/2008 9:33:00 AM	19135
5700 BLOCK GERMANTOWN AV	8/20/2008 11:46:00 AM	19144
7700 BLOCK LEXINGTON AV	8/19/2008 4:50:00 AM	19152
5900 BLOCK E ROOSEVELT BLVD	8/17/2008 11:18:00 PM	19149
N 8TH ST  &  DIAMOND ST	8/16/2008 9:47:00 PM	19122
1700 BLOCK W ATLANTIC ST	8/15/2008 9:54:00 PM	19140
2600 BLOCK W GIRARD AV	8/13/2008 11:59:00 PM	19130
1300 BLOCK E WASHINGTON LA	8/11/2008 9:54:00 PM	19138
2200 BLOCK N REESE ST	8/11/2008 9:46:00 PM	19133
5400 BLOCK CHESTER AV	8/10/2008 9:59:00 PM	19143
900 BLOCK W CUMBERLAND ST	8/10/2008 6:23:00 AM	19133
800 BLOCK E ALLEGHENY AV	8/10/2008 2:54:00 AM	19134
6300 BLOCK CHESTER AV	8/10/2008 12:45:00 AM	19142
600 BLOCK PERTH PL	8/8/2008 10:15:00 PM	19123
S 57TH ST  &  ELMWOOD AV	8/8/2008 3:52:00 PM	19143
1700 BLOCK N 24TH ST	8/7/2008 3:47:00 PM	19121
5900 BLOCK N BROAD ST	8/7/2008 12:52:00 AM	19141
1400 BLOCK N 28TH ST	8/5/2008 1:28:00 AM	19121
2000 BLOCK FULLER ST	8/4/2008 9:43:00 PM	19152
N BROAD ST  &  W ONTARIO ST	8/4/2008 1:08:00 AM	19140
1900 BLOCK MCKEAN ST	8/3/2008 10:25:00 PM	19145
700 BLOCK W ROOSEVELT BLVVELT BLVD	8/3/2008 1:51:00 AM	19140
2300 BLOCK S BAMBREY TER	8/14/2009 5:28:00 PM	19145
7400 BLOCK OXFORD AV	8/14/2009 11:19:00 AM	19111
1400 BLOCK W ALLEGHENY AV 	8/13/2009 2:05:00 PM	19132
2000 BLOCK S 7TH ST	8/10/2009 6:12:00 PM	19148
3000 BLOCK N 7TH ST	8/9/2009 5:03:00 AM	19133
1400 BLOCK N REDFIELD ST	8/8/2009 11:00:00 PM	19151
S 28TH ST  &  JACKSON ST	8/8/2009 7:21:00 PM	19145
800 BLOCK E BRISTOL ST	8/8/2009 6:16:00 AM	19124
300 BLOCK S 52ND STREET	8/7/2009 11:35:00 PM	19143
1800 BLOCK W CUMBERLAND ST	8/6/2009 7:28:00 PM	19132
700 BLOCK S 56TH ST	8/6/2009 12:18:00 AM	19143
5100 BLOCK CHESTER AV	8/5/2009 11:03:00 PM	19143
3000 BLOCK MIFFLIN ST	8/4/2009 11:18:00 PM	19145
1400 BLOCK S HICKS ST	8/4/2009 11:10:00 PM	19146
9100 BLOCK OLD NEWTOWN RD	8/2/2009 3:12:00 AM	19115
6900 BLOCK WOODLAND AV	8/1/2009 6:59:00 PM	19142
2500 BLOCK E THOMPSON ST	8/29/2009 5:19:00 PM	19125
5500 BLOCK DELANCEY ST	8/29/2009 12:59:00 PM	19143
