"AREAKEY","INTPTLAT","INTPTLON","AREALAND","AREAWATR","AREALANM","AREAWATM","STUSAB","REGION","DIVISION","STATECE","STATE","COUNTY","COUNTYSC","COUSUB","COUSUBCC","COUSUBSC","PLACE","PLACECC","PLACEDC","PLACESC","TRACT","BLKGRP","BLOCK","CONCIT","CONCITCC","CONCITSC","AIANHHCE","AIANHH","AIANHHCC","AIHHTLI","AITSCE","AITS","AITSCC","ANRC","ANRCCC","MSACMSA","MASC","CMSA","MACCI","PMSA","NECMA","NECMACCI","NECMASC","EXI","UA","UASC","UATYPE","UR","CD106","CD108","CD109","CD110","SLDU","SLDL","VTD","VTDI","ZCTA3","ZCTA5","SUBMCD","SUBMCDCC","FUNCSTAT","GCUNI","LSADC","SDELM","SDSEC","SDUNI","TAZ","UGA","PUMA5","PUMA1","MACC","UACP","P001001","P002001","P003001","P004001","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P006001","P006002","P006003","P006004","P006005","P006006","P006007","P006008","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017"
"42091205501","40.002911","-75.291495","978425","0","0.38","0.00","PA","1","2","23","42","091","20","","","","","","0","","205501","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3732","602","3732","16.1","3732","3732","3732","0","0","0","0","3732","2950","600","7","160","0","15","0","1744","100","73","83","71","104","117","109","98","110","130","198","230","149","52","51","69"
"42091205502","39.995262","-75.281564","2130356","0","0.82","0.00","PA","1","2","23","42","091","20","","","","","","0","","205502","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3281","387","3340","11.6","3281","3281","3281","0","0","0","0","3281","3046","43","7","113","0","11","61","1274","47","39","43","16","46","46","60","9","7","51","84","187","121","107","152","259"
"42091205503","39.983112","-75.272946","2361391","0","0.91","0.00","PA","1","2","23","42","091","20","","","","","","0","","205503","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4654","590","4595","12.8","4654","4654","4654","0","0","0","0","4654","4194","158","0","215","0","55","32","1780","63","59","46","52","81","66","83","57","59","104","217","274","184","129","103","203"
"42091205600","40.007462","-75.262169","1279030","0","0.49","0.00","PA","1","2","23","42","091","20","","","","","","0","","205600","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4233","631","4233","14.9","4233","4233","4233","0","0","0","0","4233","4019","32","6","114","0","11","51","1895","68","71","69","73","94","122","73","69","104","197","209","261","159","140","91","95"
"42091205700","40.103875","-75.343188","1694774","246194","0.65","0.10","PA","1","2","23","42","091","20","","","","","","0","","205700","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4371","489","4371","11.2","4371","4371","4371","0","0","0","0","4371","4017","84","8","134","0","89","39","1993","132","185","90","174","158","177","168","122","123","192","259","129","66","0","14","4"
"42091205801","40.093990","-75.416808","12480338","270260","4.82","0.10","PA","1","2","23","42","091","20","","","","","","0","","205801","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2617","409","2617","15.6","2617","2617","2617","0","0","0","0","2617","2077","59","0","403","0","63","15","1610","32","60","41","81","111","104","125","97","63","279","208","222","75","42","47","23"
"42091205805","40.096308","-75.369987","2640727","70774","1.02","0.03","PA","1","2","23","42","091","20","","","","","","0","","205805","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3132","470","3132","15.0","3132","3132","3132","0","0","0","0","3132","2628","134","7","308","26","0","29","1273","33","88","16","52","110","30","83","50","43","130","152","226","145","58","49","8"
"42091205806","40.100068","-75.337272","1909391","126357","0.74","0.05","PA","1","2","23","42","091","20","","","","","","0","","205806","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","1761","271","1780","15.2","1761","1761","1761","0","0","0","0","1761","1662","28","0","52","0","19","0","630","21","22","25","25","32","22","34","24","32","108","114","72","54","21","20","4"
"42091205807","40.087427","-75.377449","1630407","0","0.63","0.00","PA","1","2","23","42","091","20","","","","","","0","","205807","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2039","300","2013","14.9","2039","2039","2039","0","0","0","0","2039","1513","131","18","332","0","11","34","1084","51","21","60","42","46","71","55","34","27","146","211","147","96","59","18","0"
"42091205808","40.103707","-75.385186","4849249","345800","1.87","0.13","PA","1","2","23","42","091","20","","","","","","0","","205808","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4645","757","4671","16.2","4645","4645","4645","0","0","0","0","4645","4042","160","8","319","0","6","110","1587","41","34","35","39","26","45","64","53","52","95","241","385","194","111","121","51"
